SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,date_collected
MLS Listing,,Single Family Residential,401 Felspar Way,Cary,NC,27518,699900,4,5,Stanton Place,4715,19166,2005,90,148,36,Active,,,http://www.redfin.com/NC/Cary/401-Felspar-Way-27518/home/41292781,TMLS,2109572,N,Y,35.7036536,-78.7847194,5/10/2017
MLS Listing,,Single Family Residential,5220 Newstead Manor Ln,Raleigh,NC,27606,1389000,4,6,Newstead Manor,5762,40075,2006,49,241,116,Active,,,http://www.redfin.com/NC/Raleigh/5220-Newstead-Manor-Ln-27606/home/41297386,TMLS,2116482,N,Y,35.709601,-78.769691,5/10/2017
MLS Listing,,Single Family Residential,4412 Alden Mist Ct,Apex,NC,27539-6902,474900,4,4,The Park At West Lake,3264,12196,2006,54,145,53,Active,,,http://www.redfin.com/NC/Apex/4412-Alden-Mist-Ct-27539/home/41298776,TMLS,2115239,N,Y,35.6575904,-78.7587697,5/10/2017
MLS Listing,,Single Family Residential,5224 Newstead Manor Ln,Raleigh,NC,27606,899950,4,5,Newstead Manor,5211,41817,2006,43,173,116,Active,,,http://www.redfin.com/NC/Raleigh/5224-Newstead-Manor-Ln-27606/home/41302865,TMLS,2118589,N,Y,35.7091987,-78.7695973,5/10/2017
MLS Listing,,Single Family Residential,2709 Cameron Pond Dr,Cary,NC,27519,414900,4,4,Cameron Pond,2899,7405,2006,29,143,50,Active,,,http://www.redfin.com/NC/Cary/2709-Cameron-Pond-Dr-27519/home/41304656,TMLS,2121389,N,Y,35.8246149,-78.8925629,5/10/2017
MLS Listing,,Single Family Residential,320 Felspar Way,Cary,NC,27518,659900,4,4,Stanton Place,3785,13503,2006,24,174,25,Active,,,http://www.redfin.com/NC/Cary/320-Felspar-Way-27518/home/41306015,TMLS,2121091,N,Y,35.7061972,-78.7854524,5/10/2017
MLS Listing,,Single Family Residential,2721 Cameron Pond Dr,Cary,NC,27519-1811,464900,4,5,Cameron Pond,2790,5227,2006,31,167,50,Active,,,http://www.redfin.com/NC/Cary/2721-Cameron-Pond-Dr-27519/home/41306158,TMLS,2121095,N,Y,35.8253531,-78.8922777,5/10/2017
MLS Listing,,Single Family Residential,212 Sonoma Valley Dr,Cary,NC,27518,500000,4,3,deVintage,3294,6969,2006,2,152,220,Active,,,http://www.redfin.com/NC/Cary/212-Sonoma-Valley-Dr-27518/home/41308502,TMLS,2126981,N,Y,35.703113,-78.7900137,5/10/2017
MLS Listing,,Single Family Residential,5312 Serene Forest Dr,Apex,NC,27539,530000,4,4,The Park At West Lake,3499,64904,2006,9,151,53,Active,,,http://www.redfin.com/NC/Apex/5312-Serene-Forest-Dr-27539/home/41309710,TMLS,2124997,N,Y,35.658726,-78.7667842,5/10/2017
MLS Listing,,Single Family Residential,208 Michelangelo Way,Cary,NC,27518,1349500,4,5,Renaissance at Regency,5641,12196,2008,27,239,100,Active,,,http://www.redfin.com/NC/Cary/208-Michelangelo-Way-27518/home/41315984,TMLS,2120153,N,Y,35.7241662,-78.8020116,5/10/2017
MLS Listing,,Single Family Residential,1020 Bianco Dr,Raleigh,NC,27607,535000,4,3,Brandywine,3533,15246,2007,154,151,32,Active,,,http://www.redfin.com/NC/Raleigh/1020-Bianco-Dr-27607/home/41318610,TMLS,2101443,N,Y,35.7990376,-78.7440894,5/10/2017
MLS Listing,,Single Family Residential,201 Rossellini Pl,Cary,NC,27518,1525000,4,7,The Estates,7006,33541,2008,56,218,83,Active,,,http://www.redfin.com/NC/Cary/201-Rossellini-Pl-27518/home/41318974,TMLS,2116120,N,Y,35.7226336,-78.801845,5/10/2017
MLS Listing,,Single Family Residential,332 Euphoria Cir,Cary,NC,27519,359999,4,3,Harmony,2553,7840,2007,125,141,80,Active,,,http://www.redfin.com/NC/Cary/332-Euphoria-Cir-27519/home/41321439,TMLS,2104201,N,Y,35.7762622,-78.8835148,5/10/2017
MLS Listing,,Single Family Residential,334 Euphoria Cir,Cary,NC,27519,350000,4,3,Harmony,2480,7405,2007,49,141,85,Active,,,http://www.redfin.com/NC/Cary/334-Euphoria-Cir-27519/home/41321440,TMLS,2117330,N,Y,35.7760868,-78.8834649,5/10/2017
MLS Listing,,Single Family Residential,412 Amiable Loop,Cary,NC,27519,447500,4,3,Harmony,2905,10454,2007,32,154,85,Active,,,http://www.redfin.com/NC/Cary/412-Amiable-Loop-27519/home/41321913,TMLS,2120822,N,Y,35.773607,-78.881871,5/10/2017
MLS Listing,,Single Family Residential,312 New Milford Rd,Cary,NC,27519-6466,335000,4,3,Twin Lakes,2261,7405,2008,103,148,70,Active,,,http://www.redfin.com/NC/Cary/312-New-Milford-Rd-27519/home/41322089,TMLS,2107475,N,Y,35.833943,-78.8484868,5/10/2017
MLS Listing,,Single Family Residential,5209 Roswellcrest Ct,Apex,NC,27539,457000,4,4,The Park At West Lake,3140,11325,2008,47,146,53,Active,,,http://www.redfin.com/NC/Apex/5209-Roswellcrest-Ct-27539/home/41323997,TMLS,2117832,N,Y,35.657089,-78.7640318,5/10/2017
MLS Listing,,Single Family Residential,4016 Franks Creek Dr,Cary,NC,27518,465000,4,4,Stonebridge,3702,6534,2007,82,126,59,Active,,,http://www.redfin.com/NC/Cary/4016-Franks-Creek-Dr-27518/home/41324454,TMLS,2111050,N,Y,35.700033,-78.7933916,5/10/2017
MLS Listing,,Single Family Residential,1000 Dotson Way,Apex,NC,27523,400000,4,4,The Trace,2800,6534,2007,77,143,140,Active,,,http://www.redfin.com/NC/Apex/1000-Dotson-Way-27523/home/41326212,TMLS,2111639,N,Y,35.7594621,-78.8315357,5/10/2017
