SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-16-2017,Single Family Residential,40539 Banshee Dr,Leesburg,VA,20175,675000,4,3.5,Courtland Rural Village,4088,14375,2009,68,165,98,Sold,,,http://www.redfin.com/VA/Leesburg/40539-Banshee-Dr-20175/home/40004427,MRIS,LO9848154,N,Y,39.0361668,-77.5981139
MLS Listing,,Single Family Residential,15706 Osterly Ln,Leesburg,VA,20176,699900,4,5.5,Historic Selma Estates,6004,26136,2011,111,117,130,Active,,,http://www.redfin.com/VA/Leesburg/15706-Osterly-Ln-20176/home/40528975,MRIS,LO9852567,N,Y,39.180469,-77.551588
MLS Listing,,Single Family Residential,15722 Trongate Ct,Leesburg,VA,20176,749900,4,4.5,Historic Selma Estates,4706,31363,2013,14,159,125,Active,,,http://www.redfin.com/VA/Leesburg/15722-Trongate-Ct-20176/home/49795399,MRIS,LO9937132,N,Y,39.180607,-77.5472314
MLS Listing,,Single Family Residential,Don Juan Ln,Leesburg,VA,20175,701245,4,4.5,Wulf Crest,4190,13658,2017,22,167,79,Active,,,http://www.redfin.com/VA/Leesburg/Don-Juan-Ln-20175/home/52432181,MRIS,LO9932749,N,Y,39.06727227,-77.60700513
PAST SALE,April-10-2017,Single Family Residential,40084 Trotting Path Ct,Leesburg,VA,20175,1070000,4,5.5,Shenstone Reserve,7704,140699,2013,43,139,50,Sold,,,http://www.redfin.com/VA/Leesburg/40084-Trottingpath-Ct-20175/home/56511594,MRIS,LO9701418,N,Y,39.125043,-77.615401
MLS Listing,,Single Family Residential,15791 Berkhamstead Pl,Leesburg,VA,20176,649900,4,3.5,Selma Estates,3341,17424,2012,47,195,125,Active,,,http://www.redfin.com/VA/Leesburg/15791-Berkhamstead-Pl-20176/home/56513788,MRIS,LO9905701,N,Y,39.178165,-77.54548
MLS Listing,,Single Family Residential,16 Catoctin Springs Ct,Leesburg,VA,20176,854900,4,3.5,Catoctin Springs,4368,130680,2017,418,196,75,Active,,,http://www.redfin.com/VA/Leesburg/20176-Maple-Spring-Ct-20176/unit-16/home/73699524,MRIS,LO9612730,N,Y,39.10953,-77.5080639
MLS Listing,,Single Family Residential,Waterford Crest Pl,Waterford,VA,20197,649900,4,3.5,The Crest At Waterford,,61420,2017,11,,75,Active,,,http://www.redfin.com/VA/WATERFORD/WATERFORD-CREST-Pl-20197/home/88434451,MRIS,LO9945718,N,Y,39.17316776,-77.58930882
MLS Listing,,Single Family Residential,15537 Alshami Ct,Leesburg,VA,20176,689000,4,3.5,Selma Estates,4829,19166,2015,25,143,125,Active,,,http://www.redfin.com/VA/Leesburg/15537-Alshami-Ct-20176/home/92336887,MRIS,LO9928131,N,Y,39.185679,-77.551446
MLS Listing,,Single Family Residential,41693 Wakehurst Pl,Leesburg,VA,20176,707000,4,4.5,Selma Estates,5876,21344,2014,81,120,125,Active,,,http://www.redfin.com/VA/Leesburg/41693-Wakehurst-Pl-20176/home/112907295,MRIS,LO9877947,N,Y,39.187178,-77.557347
MLS Listing,,Single Family Residential,906 Athena Dr SE,Leesburg,VA,20175,739990,4,3.5,Meadowbrook Farms,3766,8000,2017,120,196,49,Active,,,http://www.redfin.com/VA/Leesburg/906-Athena-Dr-SE-Unknown/home/112967307,MRIS,LO9846646,N,Y,39.09463184,-77.57695725
MLS Listing,,Single Family Residential,1001 Akan St SE,Leesburg,VA,20175,749990,4,3.5,Meadowbrook Farms,3838,8000,2017,120,195,66,Active,,,http://www.redfin.com/VA/Leesburg/1001-Akan-St-SE-Unknown/home/112967357,MRIS,LO9846663,N,Y,39.09463184,-77.57695725
MLS Listing,,Single Family Residential,1001 Themis St SE,Leesburg,VA,20175,699990,4,3.5,Meadowbrook Farm,3502,8000,2017,120,200,61,Active,,,http://www.redfin.com/VA/Leesburg/1001-Themis-St-SE-Unknown/home/112967419,MRIS,LO9846667,N,Y,39.09463184,-77.57695725
MLS Listing,,Single Family Residential,15396 Gunby Hall Ln,Leesburg,VA,20176,855575,4,4.5,Selma Estates,7069,21780,2017,74,121,125,Active,May-27-2017 09:00 AM,May-27-2017 01:00 PM,http://www.redfin.com/VA/Leesburg/15396-Gunby-Hall-Ln-20176/home/113002341,MRIS,LO9884565,N,Y,39.1767,-77.5436
MLS Listing,,Single Family Residential,41588 Wakehurst Pl,Leesburg,VA,20176,865985,4,5.5,Selma Estates,6462,21780,2017,19,134,125,Active,May-27-2017 09:00 AM,May-27-2017 01:00 PM,http://www.redfin.com/VA/Leesburg/41588-Wakehurst-Pl-20176/home/113063075,MRIS,LO9936362,N,Y,39.1767,-77.5436
MLS Listing,,Single Family Residential,Longview Crst,Leesburg,VA,20175,709900,4,3.5,Longview,,70567,2017,75,,75,Active,,,http://www.redfin.com/VA/Leesburg/Longview-Crst-20175/home/113382901,MRIS,LO9882854,N,Y,39.13106961,-77.62170448
MLS Listing,,Single Family Residential,11 Wirt St SW,Leesburg,VA,20175,849900,4,4,Colonial Square,3393,4792,1890,12,250,,Active,,,http://www.redfin.com/VA/Leesburg/11-Wirt-St-SW-20175/home/113897068,MRIS,LO9943284,N,Y,39.1152724,-77.5665664
