SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,604 Market St,Leesburg,VA,20176,584999,4,3,Fairview Subdivision,2772,26572,1956,4,211,,Active,,,http://www.redfin.com/VA/Leesburg/604-W-Market-St-20176/home/12011938,MRIS,LO9950957,N,Y,39.1200165,-77.5787314
PAST SALE,March-28-2017,Single Family Residential,301 Wingate Pl SW,Leesburg,VA,20175,547000,4,3,Stonegate,2404,10019,1993,56,228,27,Sold,,,http://www.redfin.com/VA/Leesburg/301-Wingate-Pl-SW-20175/home/12012574,MRIS,LO9900340,N,Y,39.1148286,-77.5776037
PAST SALE,April-27-2017,Single Family Residential,201 Ashton Dr SW,Leesburg,VA,20175,520000,4,3.5,Stonegate,3054,16553,1992,26,170,27,Sold,,,http://www.redfin.com/VA/Leesburg/201-Ashton-Dr-SW-20175/home/12012688,MRIS,LO9893806,N,Y,39.115728,-77.5800728
PAST SALE,March-27-2017,Single Family Residential,202 Snowden Ct SW,Leesburg,VA,20175,535000,4,3.5,Stonegate,3543,10454,1994,57,151,83,Sold,,,http://www.redfin.com/VA/Leesburg/202-Snowden-Ct-SW-20175/home/12012693,MRIS,LO9854982,N,Y,39.1173375,-77.5796474
PAST SALE,March-27-2017,Single Family Residential,419 Mosby Dr SW,Leesburg,VA,20175,628000,4,3,Rock Spring,4084,14810,1979,57,154,,Sold,,,http://www.redfin.com/VA/Leesburg/419-Mosby-Dr-SW-20175/home/12012721,MRIS,LO9865166,N,Y,39.1185031,-77.5781394
PAST SALE,April-24-2017,Single Family Residential,208 River Frays Dr SW,Leesburg,VA,20175,479000,4,2.5,Stonegate,2484,13504,1995,29,193,27,Sold,,,http://www.redfin.com/VA/Leesburg/208-River-Frays-Dr-SW-20175/home/12012742,MRIS,LO9891622,N,Y,39.1168549,-77.5770002
MLS Listing,,Single Family Residential,1203 Periwinkle Way SW,Leesburg,VA,20175,550000,4,2.5,Fairway Manor Subdivision,2614,7841,1993,4,210,3,Active,,,http://www.redfin.com/VA/Leesburg/1203-Periwinkle-Way-SW-20175/home/12012832,MRIS,LO9952114,N,Y,39.0991635,-77.5921438
MLS Listing,,Single Family Residential,408 Clagett St SW,Leesburg,VA,20175,495000,4,3.5,Leesburg Country Club,3134,11326,1986,54,158,,Active,,,http://www.redfin.com/VA/Leesburg/408-Clagett-St-SW-20175/home/12012855,MRIS,LO9900698,N,Y,39.0988619,-77.590213
PAST SALE,February-28-2017,Single Family Residential,1104 Rollins Pl SW,Leesburg,VA,20175,420000,4,2.5,Leesburg Country Club,2310,13068,1973,84,182,,Sold,,,http://www.redfin.com/VA/Leesburg/1104-Rollins-Pl-SW-20175/home/12012929,MRIS,LO9793381,N,Y,39.0987344,-77.5849033
PAST SALE,April-10-2017,Single Family Residential,1108 Rollins Pl SW,Leesburg,VA,20175,535000,4,2.5,Leesburg Country Club,2532,19166,1974,43,211,,Sold,,,http://www.redfin.com/VA/Leesburg/1108-Rollins-Pl-SW-20175/home/12012931,MRIS,LO9863148,N,Y,39.0982333,-77.5847686
PAST SALE,May-4-2017,Single Family Residential,101 Country Club Dr SW,Leesburg,VA,20175,489900,4,2.5,Leesburg Country Club,2352,12197,1987,19,208,,Sold,,,http://www.redfin.com/VA/Leesburg/101-Country-Club-Dr-SW-20175/home/12012954,MRIS,LO9847491,N,Y,39.0980851,-77.582828
MLS Listing,,Single Family Residential,1113 Franklin Ct SW,Leesburg,VA,20175,555000,4,2.5,Leesburg Country Club,2540,9583,1986,1,219,,Active,,,http://www.redfin.com/VA/Leesburg/1113-Franklin-Ct-SW-20175/home/12013109,MRIS,LO9956205,N,Y,39.1009594,-77.5895429
PAST SALE,March-31-2017,Single Family Residential,815 Lee Ave SW,Leesburg,VA,20175,720000,4,4.5,Vally View Estates,5400,91912,1974,53,133,,Sold,,,http://www.redfin.com/VA/Leesburg/815-Lee-Ave-SW-20175/home/12013587,MRIS,LO9860174,N,Y,39.1074538,-77.582144
PAST SALE,April-21-2017,Single Family Residential,505 Binns Ct SW,Leesburg,VA,20175,624000,4,3.5,Woodlea Manor,4192,16117,1996,32,149,63,Sold,,,http://www.redfin.com/VA/Leesburg/505-Binns-Ct-SW-20175/home/12013703,MRIS,LO9721376,N,Y,39.0892989,-77.596816
PAST SALE,April-13-2017,Single Family Residential,510 Brumsey Ct SW,Leesburg,VA,20175,640000,4,4.5,Woodlea Manor,3856,13068,1997,40,166,65,Sold,,,http://www.redfin.com/VA/Leesburg/510-Brumsey-Ct-SW-20175/home/12013733,MRIS,LO9915355,N,Y,39.0910573,-77.5949457
PAST SALE,March-30-2017,Single Family Residential,403 Warner Ct SW,Leesburg,VA,20175,639000,4,4.5,Woodlea Manor,5067,10890,2000,54,126,58,Sold,,,http://www.redfin.com/VA/Leesburg/403-Warner-Ct-20175/home/12013752,MRIS,LO9873062,N,Y,39.088796,-77.5936831
PAST SALE,May-11-2017,Single Family Residential,1337 Moore Pl SW,Leesburg,VA,20175,640000,4,4.5,Woodlea Manor,4564,14375,2000,12,140,63,Sold,,,http://www.redfin.com/VA/Leesburg/1337-Moore-Pl-SW-20175/home/12013778,MRIS,LO9798842,N,Y,39.0894826,-77.5923425
PAST SALE,April-28-2017,Single Family Residential,1412 Moore Pl SW,Leesburg,VA,20175,635000,4,3.5,Woodlea Manor,3975,13939,1998,25,160,63,Sold,,,http://www.redfin.com/VA/Leesburg/1412-Moore-Pl-SW-20175/home/12013803,MRIS,LO9787185,N,Y,39.0910154,-77.5910351
PAST SALE,March-16-2017,Single Family Residential,403 Lawford Dr SW,Leesburg,VA,20175,540000,4,3.5,Greenway Farm,2328,8712,1997,68,232,38,Sold,,,http://www.redfin.com/VA/Leesburg/403-Lawford-Dr-SW-20175/home/12014183,MRIS,LO9876529,N,Y,39.0947792,-77.5895603
MLS Listing,,Single Family Residential,19511 Barnwood Ct,Leesburg,VA,20175,1024500,4,4.5,Dunrobin Subdivision,6136,132422,1993,347,167,,Active,,,http://www.redfin.com/VA/Leesburg/19511-Barnwood-Ct-20175/home/12014314,MRIS,LO9683803,N,Y,39.0764632,-77.5873801
MLS Listing,,Single Family Residential,20600 Norman Pl,Leesburg,VA,20175,859900,4,4,Rolling Rhodes,5576,130680,1996,26,154,29,Active,,,http://www.redfin.com/VA/Leesburg/20600-Norman-Pl-20175/home/12014414,MRIS,LO9929176,N,Y,39.0467319,-77.5958902
PAST SALE,February-24-2017,Single Family Residential,611 Stribling Ct SW,Leesburg,VA,20175,661500,4,3.5,Woodlea Manor,4463,17860,1997,88,148,65,Sold,,,http://www.redfin.com/VA/Leesburg/611-Stribling-Ct-SW-20175/home/12015373,MRIS,LO9843457,N,Y,39.0873674,-77.6006106
MLS Listing,,Single Family Residential,40280 Mount Gilead Rd,Leesburg,VA,20175,459000,4,2.5,Wilmar,1924,43560,1965,18,239,,Active,,,http://www.redfin.com/VA/Leesburg/40280-Mount-Gilead-Rd-20175/home/12015537,MRIS,LO9938038,N,Y,39.075284,-77.60917
MLS Listing,,Single Family Residential,18121 Canby Rd,Leesburg,VA,20175,829900,4,3.5,High Point Canby Road,4637,156816,1989,104,179,,Active,,,http://www.redfin.com/VA/Leesburg/18121-Canby-Rd-20175/home/12016893,MRIS,LO9858442,N,Y,39.115044,-77.633364
PAST SALE,May-16-2017,Single Family Residential,19145 Foxgreen Cir,Leesburg,VA,20175,775000,4,4.5,Mount Gilead Hamlet,5327,45302,1996,7,145,167,Sold,,,http://www.redfin.com/VA/Leesburg/19145-Foxgreen-Cir-20175/home/12018179,MRIS,LO9878729,N,Y,39.088217,-77.653148
PAST SALE,April-14-2017,Single Family Residential,38802 Hughesville Rd,Hamilton,VA,20158,850000,4,2.5,Gorgeous Area Of Farms,2751,666468,1746,39,309,,Sold,,,http://www.redfin.com/VA/Hamilton/38802-Hughesville-Rd-20158/home/12019488,MRIS,LO9819545,N,Y,39.100886,-77.661348
PAST SALE,April-28-2017,Single Family Residential,19464 Jodhpur Dr,Leesburg,VA,20175,615000,4,2.5,Hunts End,3034,133294,1998,25,203,,Sold,,,http://www.redfin.com/VA/Leesburg/19464-Jodhpur-Dr-20175/home/12019503,MRIS,LO9778321,N,Y,39.077595,-77.681088
MLS Listing,,Single Family Residential,43559 Firestone Pl,Leesburg,VA,20176,1100000,4,4.5,River Creek,5675,14375,2000,173,194,175,Active,May-28-2017 09:00 AM,May-28-2017 12:00 PM,http://www.redfin.com/VA/Leesburg/43559-Firestone-Pl-20176/home/12039090,MRIS,LO9818871,N,Y,39.1015179,-77.4879301
PAST SALE,May-1-2017,Single Family Residential,18270 Maple Spring Ct,Leesburg,VA,20176,557500,4,3.5,Northlake,4133,9148,2000,22,135,108,Sold,,,http://www.redfin.com/VA/Leesburg/18270-Maple-Spring-Ct-20176/home/12041982,MRIS,LO9849227,N,Y,39.110352,-77.5071789
PAST SALE,March-23-2017,Single Family Residential,43270 Warwick Hills Ct,Leesburg,VA,20176,815000,4,1.5,River Creek,4180,14375,2000,61,195,265,Sold,,,http://www.redfin.com/VA/Leesburg/43270-Warwick-Hills-Ct-20176/home/12042081,MRIS,LO9940537,N,Y,39.1056526,-77.5030334
PAST SALE,April-28-2017,Single Family Residential,19008 Panther Ct,Leesburg,VA,20176,625000,4,4.5,Potomac Station,4548,10890,2000,25,137,64,Sold,,,http://www.redfin.com/VA/Leesburg/19008-Panther-Ct-20176/home/12042110,MRIS,LO9883690,N,Y,39.0896491,-77.5117867
PAST SALE,February-28-2017,Single Family Residential,721 Vista Ridge Dr NE,Leesburg,VA,20176,574900,4,3.5,Potomac Station,3529,9148,2002,84,163,51,Sold,,,http://www.redfin.com/VA/Leesburg/721-Vista-Ridge-Dr-NE-20176/home/12043592,MRIS,LO9844292,N,Y,39.1003964,-77.520786
PAST SALE,April-17-2017,Single Family Residential,810 Sandy Landing Dr SE,Leesburg,VA,20175,625000,4,3.5,Kincaid Forest,5026,10019,2000,36,124,65,Sold,,,http://www.redfin.com/VA/Leesburg/810-Sandy-Landing-Dr-SE-20175/home/12044308,MRIS,LO9862945,N,Y,39.0833506,-77.5392433
MLS Listing,,Single Family Residential,17170 Bold Venture Dr,Leesburg,VA,20176,1399900,4,6.5,Beacon Hill,7983,198198,2001,1,175,150,Active,,,http://www.redfin.com/VA/Leesburg/17170-Bold-Venture-Dr-20176/home/12044641,MRIS,LO9954940,N,Y,39.1421371,-77.6010068
PAST SALE,April-14-2017,Single Family Residential,18309 Eldorado Way,Leesburg,VA,20176,975000,4,4.5,River Creek,7282,12197,2001,39,134,175,Sold,,,http://www.redfin.com/VA/Leesburg/18309-Eldorado-Way-20176/home/12046217,MRIS,LO9864048,N,Y,39.1092412,-77.493383
MLS Listing,,Single Family Residential,43266 Mission Hills Way,Leesburg,VA,20176,765000,4,4.5,River Creek,5110,10890,2002,112,150,175,Active,,,http://www.redfin.com/VA/Leesburg/43266-Mission-Hills-Way-20176/home/12046252,MRIS,LO9851602,N,Y,39.1100138,-77.5026825
PAST SALE,April-7-2017,Single Family Residential,610 Smartts Ln NE,Leesburg,VA,20176,526000,4,2.5,Potomac Crossing,2746,9583,2001,46,192,53,Sold,,,http://www.redfin.com/VA/Leesburg/610-Smartts-Ln-NE-20176/home/12046713,MRIS,LO9886001,N,Y,39.1264852,-77.5323646
PAST SALE,February-28-2017,Single Family Residential,607 Bluff Ct NE,Leesburg,VA,20176,525000,4,3.5,Potomac Crossing,3275,10019,2001,84,160,53,Sold,,,http://www.redfin.com/VA/Leesburg/607-Bluff-Ct-NE-20176/home/12047306,MRIS,LO9840038,N,Y,39.1276587,-77.534097
PAST SALE,April-26-2017,Single Family Residential,312 Shiloh Pl SE,Leesburg,VA,20175,580000,4,3.5,Beauregard Heights,3747,20038,2002,27,155,,Sold,,,http://www.redfin.com/VA/Leesburg/312-Shiloh-Pl-SE-20175/home/12047345,MRIS,LO9870203,N,Y,39.0933666,-77.5477164
MLS Listing,,Single Family Residential,209 Magruder Pl SE,Leesburg,VA,20175,565000,4,3.5,Beauregard Heights,3612,18295,2001,78,156,,Active,,,http://www.redfin.com/VA/Leesburg/209-Magruder-Pl-SE-20175/home/12047346,MRIS,LO9879520,N,Y,39.0923828,-77.5475008
MLS Listing,,Single Family Residential,40690 Canongate Dr,Leesburg,VA,20175,864900,4,4.5,Shenstone,7137,132858,2003,24,121,72,Active,,,http://www.redfin.com/VA/Leesburg/40690-Canongate-Dr-20175/home/12047542,MRIS,LO9931417,N,Y,39.1215827,-77.5933741
MLS Listing,,Single Family Residential,17038 Grindstone Ct,Leesburg,VA,20176,999999,4,3.5,Beacon Hill,5046,130680,2014,76,198,150,Active,,,http://www.redfin.com/VA/Leesburg/17038-Grindstone-Ct-20176/home/12047705,MRIS,LO9881095,N,Y,39.1448238,-77.6102456
MLS Listing,,Single Family Residential,17912 Braemar Pl,Leesburg,VA,20175,1020000,4,5.5,Shenstone,7152,181645,2003,39,143,72,Active,,,http://www.redfin.com/VA/Leesburg/17912-Braemar-Pl-20175/home/12047725,MRIS,LO9916181,N,Y,39.121262,-77.598656
PAST SALE,March-8-2017,Single Family Residential,41063 Canongate Dr,Leesburg,VA,20175,815000,4,4.5,Shenstone,5656,146362,2005,76,144,72,Sold,,,http://www.redfin.com/VA/Leesburg/41063-Canongate-Dr-20175/home/12047731,MRIS,LO9587027,N,Y,39.120106,-77.601022
MLS Listing,,Single Family Residential,43466 Squirrel Ridge Pl,Leesburg,VA,20176,799900,4,4.5,Lansdowne On The Potomac,5559,12197,2002,54,144,276,Active,,,http://www.redfin.com/VA/Leesburg/43466-Squirrel-Ridge-Pl-20176/home/12048497,MRIS,LO9901243,N,Y,39.086317,-77.478352
MLS Listing,,Single Family Residential,19054 Boyer Fields Pl,Leesburg,VA,20176,999975,4,4.5,Lansdowne On Potomac,6187,18731,2002,59,162,136,Active,,,http://www.redfin.com/VA/Leesburg/19054-Boyer-Fields-Pl-20176/home/12048543,MRIS,LO9896972,N,Y,39.088247,-77.479174
MLS Listing,,Single Family Residential,43372 Tides Inn Way,Leesburg,VA,20176,769900,4,3.5,River Creek,5857,11761,2003,109,131,175,Active,,,http://www.redfin.com/VA/Leesburg/43372-Tides-Inn-Way-20176/home/12049150,MRIS,LO9854644,N,Y,39.108188,-77.4996776
MLS Listing,,Single Family Residential,43437 Spring Cellar Ct,Leesburg,VA,20176,598000,4,3.5,Lansdowne On The Potomac,3766,9583,2002,19,159,136,Active,,,http://www.redfin.com/VA/Leesburg/43437-Spring-Cellar-Ct-20176/home/12049205,MRIS,LO9929955,N,Y,39.0855533,-77.4979809
MLS Listing,,Single Family Residential,1603 Chickasaw Pl NE,Leesburg,VA,20176,575000,4,3.5,Edwards Landing,3650,8276,2002,12,158,85,Active,,,http://www.redfin.com/VA/Leesburg/1603-Chickasaw-Pl-NE-20176/home/12053755,MRIS,LO9944235,N,Y,39.116389,-77.527191
PAST SALE,,Single Family Residential,917 Rhonda Pl SE,Leesburg,VA,20175,594000,4,3.5,,4218,10019,2004,,141,,,,,http://www.redfin.com/VA/Leesburg/917-Rhonda-Pl-SE-20175/home/12053886,,,N,Y,39.0821137,-77.534304
PAST SALE,March-15-2017,Single Family Residential,614 Newington Pl NE,Leesburg,VA,20176,525000,4,3.5,Exeter Hills,3975,8712,2002,69,132,,Sold,,,http://www.redfin.com/VA/Leesburg/614-Newington-Pl-NE-20176/home/12054923,MRIS,LO9854608,N,Y,39.118538,-77.550443
MLS Listing,,Single Family Residential,17334 Cannonade Dr,Leesburg,VA,20176,920000,4,4,Beacon Hill,3974,31363,2004,7,232,150,Active,,,http://www.redfin.com/VA/Leesburg/17334-Cannonade-Dr-20176/home/12062995,MRIS,LO9946953,N,Y,39.1370952,-77.5896658
MLS Listing,,Single Family Residential,17397 Count Turf Pl,Leesburg,VA,20176,900000,4,4.5,Beacon Hill,6047,39204,2002,29,149,150,Active,,,http://www.redfin.com/VA/Leesburg/17397-Count-Turf-Pl-20176/home/12062997,MRIS,LO9925977,N,Y,39.1354231,-77.5891425
MLS Listing,,Single Family Residential,43412 Spanish Bay Ct,Leesburg,VA,20176,879900,4,4.5,River Creek Land Bay N,5684,14375,2002,18,155,175,Active,,,http://www.redfin.com/VA/Leesburg/43412-Spanish-Bay-Ct-20176/home/12064058,MRIS,LO9937701,N,Y,39.1097234,-77.4982994
PAST SALE,March-31-2017,Single Family Residential,43724 Grey Oak Way,Leesburg,VA,20176,688000,4,4.5,Lansdowne On The Potomac,4660,9583,2004,53,148,136,Sold,,,http://www.redfin.com/VA/Leesburg/43724-Grey-Oak-Way-20176/home/12066288,MRIS,LO9848272,N,Y,39.08674,-77.487585
MLS Listing,,Single Family Residential,19203 Coton Hall St,Leesburg,VA,20176,689000,4,3.5,Lansdowne On The Potomac,3707,7841,2004,49,186,135,Active,,,http://www.redfin.com/VA/Leesburg/19203-Coton-Hall-St-20176/home/12066329,MRIS,LO9905783,N,Y,39.0849515,-77.4858223
PAST SALE,,Single Family Residential,43462 Riverpoint Dr,Leesburg,VA,20176,650000,4,3.5,,3160,7841,2003,,206,,,,,http://www.redfin.com/VA/Leesburg/43462-Riverpoint-Dr-20176/home/12066387,,,N,Y,39.085709,-77.48333
PAST SALE,April-10-2017,Single Family Residential,19448 Mill Dam Pl,Leesburg,VA,20176,815000,4,4.5,Lansdowne On The Potomac,6000,12197,2004,43,136,136,Sold,,,http://www.redfin.com/VA/Leesburg/19448-Mill-Dam-Pl-20176/home/12066569,MRIS,LO9871751,N,Y,39.081847,-77.490047
PAST SALE,April-14-2017,Single Family Residential,43696 Red House Dr,Leesburg,VA,20176,779900,4,4.5,Lansdowne On The Potomac,6062,9148,2004,39,129,136,Sold,,,http://www.redfin.com/VA/Leesburg/43696-Red-House-Dr-20176/home/12066678,MRIS,LO9888767,N,Y,39.083181,-77.489067
PAST SALE,April-21-2017,Single Family Residential,19134 Peaceful Stream Dr,Leesburg,VA,20176,742500,4,4.5,Lansdowne On The Potomac,5941,10890,2004,32,125,136,Sold,,,http://www.redfin.com/VA/Leesburg/19134-Peaceful-Stream-Dr-20176/home/12066775,MRIS,LO9622833,N,Y,39.0837685,-77.48221
PAST SALE,April-28-2017,Single Family Residential,15464 Limestone School Rd,Leesburg,VA,20176,352000,4,2,Green Acres,1800,273121,1960,25,196,,Sold,,,http://www.redfin.com/VA/Leesburg/15464-Limestone-School-Rd-20176/home/12067036,MRIS,LO9827899,N,Y,39.186237,-77.509828
MLS Listing,,Single Family Residential,19115 Moselle Way,Leesburg,VA,20176,744900,4,4.5,Lansdowne On The Potomac,5006,10019,2004,46,149,135,Active,,,http://www.redfin.com/VA/Leesburg/19115-Moselle-Way-20176/home/12067277,MRIS,LO9909814,N,Y,39.0864648,-77.5041689
PAST SALE,March-9-2017,Single Family Residential,107 Old English Ct SW,Leesburg,VA,20175,750000,4,3.5,Georgetown Mews,4249,9148,2005,75,177,,Sold,,,http://www.redfin.com/VA/Leesburg/107-Old-English-Ct-SW-20175/home/12071384,MRIS,LO9852359,N,Y,39.111697,-77.56802
PAST SALE,April-27-2017,Single Family Residential,208 Alpine Dr SE,Leesburg,VA,20175,532000,4,3.5,Stowers,2264,7841,2003,26,235,75,Sold,,,http://www.redfin.com/VA/Leesburg/208-Alpine-Dr-SE-20175/home/12071428,MRIS,LO9870928,N,Y,39.0973042,-77.5686117
MLS Listing,,Single Family Residential,40741 Carry Back Ln,Leesburg,VA,20176,899000,4,5.5,Beacon Hill,7126,28314,2004,123,126,150,Active,,,http://www.redfin.com/VA/Leesburg/40741-Carry-Back-Ln-20176/home/12071819,MRIS,LO9843002,N,Y,39.1489375,-77.5918564
MLS Listing,,Single Family Residential,40235 Browns Creek Pl,Leesburg,VA,20175,925000,4,5.5,Long Meadow Hamlet,5958,45738,2004,110,155,115,Active,,,http://www.redfin.com/VA/Leesburg/40235-Browns-Creek-Pl-20175/home/12072245,MRIS,LO9853937,N,Y,39.0564435,-77.6071907
MLS Listing,,Single Family Residential,19115 Zachary Ln,Leesburg,VA,20176,669900,4,3.5,Lansdowne On The Potomac,4325,9583,2004,5,155,135,Active,,,http://www.redfin.com/VA/Leesburg/19115-Zachary-Ln-20176/home/12079426,MRIS,LO9948888,N,Y,39.087224,-77.492275
